LH,Rp,Ro
-12229.0713152127,-0.854496747936959,-0.813959023239758
-11376.8772084563,0.10287872331112,0.286498112736314
-11634.6529487365,0.48655842085806,0.563968159593608
-11984.623023296,0.683544972949309,0.259216546154308
-11654.5292003056,0.251965040170539,0.0357965796845316
-10717.6804220518,0.265116681994084,0.0227076067440199
-11189.6873830594,-0.0665771919137307,0.661665834291187
-11522.1589509126,-0.554841102011342,-0.109541007892322
-12113.8182876546,0.541073947002882,-0.38114342212153
-11924.9188219101,-0.415120035834143,-0.061716452229813
-12180.6292241094,0.364994473594199,-0.707186414610464
-11651.0224611755,-0.394467936078709,0.667075023547958
-11407.0868157793,0.602633842169141,-0.345667180402596
-11766.2337385783,-0.549736695270027,0.122141050867545
-11809.6148221891,0.0388656647468535,-0.0407861741408986
-11626.7985030159,0.0671710432126071,0.386683482406111
-11419.2985981353,-0.164950450765878,-0.0215422511265076
-12287.3833220801,0.364066876794929,-0.0759758088070684
-10914.5875224337,-0.243980219488861,0.738473341302012
-11419.4114443916,-0.137182963141328,0.146743941037624
-11418.4628678363,0.689243107548659,-0.273703064109048
-11182.4574917358,0.561266184013301,0.338714186004791
-11207.0899461656,-0.495923068694252,0.634883919086933
-11383.1171022292,0.253139488520972,-0.105721658305499
-11986.9185133454,-0.0805132041998555,-0.494145394228856
-11169.2196452833,0.128064558085425,0.0819609218073993
-11561.744860207,0.268464475680509,0.0300331138139411
-11530.3569080931,-0.0861626416563775,-0.314249328081772
-11699.0343819889,-0.522623192765745,0.0823570708628245
-11221.9833289503,-0.496755281936682,0.300754036603175
-11615.128571627,0.157582742987083,-0.226886884816001
-12012.6740076403,-0.0657714676565794,-0.762197585309532
-12042.1286862165,-0.276410395637278,-0.341429515462402
-11490.8946183835,-0.452978747491305,0.644139513864987
-11743.5088482339,-0.196920504801859,-0.000900475235082299
-12073.3420398812,0.560078164021375,-0.426027361876013
-11102.8950745828,-0.78520676333495,0.30838975625859
-11186.4724219565,-0.205428900273393,0.451668078488705
-11472.1440332667,0.0523042832704623,-0.0668581343386346
-11166.172333597,-0.460320954521211,0.839080589523789
-11099.4872137921,0.0587685302691998,0.158624504577188
-11851.7085518977,0.355925165838346,-0.179326114296928
-11602.3019351778,0.217547820165158,-0.32495723857551
-12495.486997568,0.640152520654858,-0.550514273040744
-12046.6262544778,-0.334971103555576,-0.0454833521201692
-11294.5729975427,0.0328482570006021,0.0253035851921621
-11500.291785159,-0.514833643653929,0.36458889769919
-10994.1886409823,-0.302008936558477,0.785371210547249
-11678.6935440398,0.512557595955101,0.442160455987688
-11790.8427542823,0.394908768233268,-0.164316609732541
-11961.1102887941,0.273695993362863,0.160132581417844
-11930.3182998638,-0.416395525359199,-0.0811053251193459
-11393.1531706776,0.491464532711107,0.653233604145219
-12040.1839941145,-0.625432841025891,-0.400444875311935
-11544.4290468693,-0.126448747008389,-0.364306350189079
-12176.0940250151,-0.813667436020274,-0.285078190215922
-11742.5351733131,-0.247372536597879,-0.32481803050476
-12040.9055876443,0.0411158224141235,-0.558429011395956
-11836.5530781585,0.124377980569169,-0.396224545786911
-11686.3962469648,0.0412476098125656,-0.343355475169298
-11406.6432440319,-0.0882730603825617,0.706238254354854
-11099.6678375858,-0.524629312065728,0.387123196264257
-11213.7577526708,-0.317176253976219,0.395374223900646
-10920.3440771827,-0.274196163897148,0.326162238723563
-11333.3418924295,0.126529818934981,0.173256803786719
-11704.1227297336,0.197916859882782,0.428793891767511
-11335.1208895666,0.884164157584192,0.642994918876738
-12150.1052294451,-0.223146797931992,-0.290326895809315
-12011.8242505215,0.389773488506678,-0.803257933948572
-11812.0672268606,0.277963648322289,0.0817084902818486
-11543.5837997178,-0.459946273310747,0.61921263165602
-11464.5357477615,0.457750797964176,-0.101586613364561
-11429.0329068568,-0.580686340868917,-0.0280591927665819
-10997.4614571427,0.31085165742357,0.413019695690566
-12132.1529998023,-0.046565184975491,-0.32563208699878
-11642.3168472318,0.185562309308319,0.783711649199129
-11409.4791831738,-0.521937525027869,-0.18328994448307
-11648.4804903753,-0.768376129255866,-0.786902288438213
-11525.2362599805,-0.587144840743169,-0.126667800677215
-11582.8646014133,-0.325453129876675,0.342473075860259
-12184.0082022841,0.0922543772121951,-0.546949830801792
-12426.7057132065,0.629820882978997,-0.414019438588149
-11889.8603495182,0.155386308219942,0.664425330910308
-11665.9817815524,0.522686604856605,0.0477144781323919
-10977.1832185449,-0.742539574706726,0.732738347927594
-11723.8855501584,0.157248487081257,0.386789376191981
-11779.272890377,0.313889063910868,-0.271171432132148
-11406.1754771317,-0.188701253673265,0.336180960870546
-11661.2131695387,-0.319713943364244,-0.374882545059421
-11685.8486233978,0.0982609568977222,0.36578746318894
-11914.9452743525,0.885012215136007,-0.696118710934613
-12393.8380984545,-0.779146425126805,-0.352246619316224
-11038.5669234003,-0.581535173647803,0.734823832080567
-12021.8764770239,0.438391067083602,0.642063441344253
-10994.2422928815,0.0411118476392227,0.54608880316049
-11362.1921253706,-0.135119503869448,-0.0989495916221437
-11896.8588284615,-0.274942222868509,-0.756580419777271
-11901.7846544315,0.230981830803485,-0.253480441468717
-11462.721231097,-0.335399595505327,-0.923979421540285
-11736.6931627028,-0.0981437010095622,0.888563600809105
-11180.1324876207,-0.544470476901482,-0.380206714003764
-12051.040250691,0.509118429464131,0.193793150505119
-11071.6714666913,0.19180278934104,0.030626682640994
-12084.4563827992,0.78108033661048,-0.748969592914352
-10970.4665871633,-0.070330477311123,0.734460933958901
-11754.10487946,-0.0438955525319616,0.132368913041844
-11278.266476504,0.122798667090495,0.525115330343223
-12276.8290535012,-0.330255371580029,-0.459583680166325
-11700.9416675582,0.365498710322997,-0.0576076757257395
-11905.9791305095,-0.505183351716403,-0.709167187148602
-11931.3367675692,-0.0856943316249434,-0.237490252041512
-11662.5805132511,-0.425542030241578,-0.501935993618579
-11505.4261163736,0.162253429753071,0.282333629406449
-11441.7536078215,-0.603114508675819,-0.288427448443258
-11338.3991318925,-0.714852766995019,-0.192367972794685
-11550.5115375818,-0.170172805092326,0.923372365245544
-11736.8385542999,-0.400383229410494,-0.391746814261002
-10929.0505003846,-0.427999420575566,0.548324226324261
-11027.7245874983,-0.561283564503899,0.625353737378848
